task_id,n_channels,demand_channels,method,channel,ebn0_db,mean_regret_db,mean_actual_bits,frame_success_rate,mean_link_latency_ms
N16_D4,16,4,best_block_binary_index,rayleigh,0.0,0.955451367696126,885.0955555555544,0.2644444444444445,2.394964444444447
N16_D4,16,4,best_block_binary_index,rayleigh,3.0,0.5757192484537761,771.3844444444442,0.5950000000000001,2.0872755555555536
N16_D4,16,4,best_block_binary_index,rayleigh,6.0,0.20620828416612413,662.1688888888888,0.8444444444444452,1.7917511111111104
N16_D4,16,4,best_block_binary_index,rayleigh,9.0,0.05968369377983939,580.9844444444448,0.9572222222222232,1.5720755555555546
N16_D4,16,4,best_block_binary_index,rician,0.0,1.1006355328030053,911.5399999999986,0.16833333333333342,2.4665200000000036
N16_D4,16,4,best_block_binary_index,rician,3.0,0.4733075544569224,749.1711111111114,0.6699999999999999,2.0271688888888866
N16_D4,16,4,best_block_binary_index,rician,6.0,0.09835110134548611,587.5955555555555,0.9383333333333346,1.5899644444444438
N16_D4,16,4,best_block_binary_index,rician,9.0,0.013049502902560763,514.6088888888892,0.9933333333333335,1.3924711111111117
N16_D8,16,8,soft_power_fixed4,awgn,0.0,0.7473839230007595,1148.0,0.0,2.6739999999999924
N16_D8,16,8,soft_power_fixed4,awgn,3.0,0.2313897450764974,888.4244444444444,0.6977777777777776,2.0693788888888895
N16_D8,16,8,soft_power_fixed4,awgn,6.0,0.0007807837592230903,580.6966666666666,1.0,1.3525983333333291
N16_D8,16,8,soft_power_fixed4,awgn,9.0,0.0007807837592230903,574.0,1.0,1.3369999999999962
N16_D8,16,8,soft_power_fixed4,rayleigh,0.0,0.5457296456231011,1074.0177777777794,0.24444444444444444,2.5016755555555554
N16_D8,16,8,soft_power_fixed4,rayleigh,3.0,0.34204063415527336,940.7222222222221,0.5744444444444444,2.1911944444444456
N16_D8,16,8,soft_power_fixed4,rayleigh,6.0,0.128787612915039,805.8322222222223,0.8344444444444453,1.8769994444444449
N16_D8,16,8,soft_power_fixed4,rayleigh,9.0,0.033788897196451825,705.0633333333333,0.9538888888888899,1.6422816666666655
N16_D8,16,8,soft_power_fixed4,rician,0.0,0.6400436401367191,1104.9500000000012,0.14500000000000002,2.5737249999999987
N16_D8,16,8,soft_power_fixed4,rician,3.0,0.2832402038574219,915.8488888888885,0.6416666666666667,2.133257777777778
N16_D8,16,8,soft_power_fixed4,rician,6.0,0.06503518422444662,716.8622222222222,0.930555555555557,1.6697644444444428
N16_D8,16,8,soft_power_fixed4,rician,9.0,0.007563175625271265,624.3844444444437,0.9922222222222223,1.4543588888888852
N16_D8,16,8,best_block_onehot,awgn,0.0,0.7464369116889106,979.4555555555555,0.0011111111111111111,2.5885611111111015
N16_D8,16,8,best_block_onehot,awgn,3.0,0.19370560963948563,732.8222222222222,0.7511111111111115,1.9367444444444422
