scheme,packet_loss,ber,mean_bits_per_frame,compression_vs_spectrogram8,compression_vs_iq12,precision,recall,f1,mean_iou,tp,fp,fn
soft,0.1,0.0,326.76000000000005,401.12620883829106,73448.40249724567,0.43886101624230556,0.5643410852713178,0.4937242876062241,0.5035313044572882,291.2,372.4,224.8
soft_rep3,0.1,0.0,980.2799999999997,133.7087362794304,24482.800832415236,0.43877069544109704,0.6252906976744186,0.515682830103575,0.5032856256386035,322.65,412.7,193.35
spectrogram8,0.1,0.0,131072.0,1.0,183.10546875,0.0,0.0,0.0,0.0,0.0,0.0,516.0
iq12,0.1,0.0,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.1,1e-06,261.9920000000001,500.29008519344086,91605.85056032243,0.4410127732664887,0.5643410852713179,0.49508684697740735,0.5040387080094922,291.2,369.2,224.8
hard_rep3,0.1,1e-06,785.9760000000001,166.76336173114697,30535.28352010748,0.4388305079595696,0.6252906976744186,0.5157241700108784,0.5032164281690031,322.65,412.6,193.35
soft,0.1,1e-06,326.76000000000005,401.12620883829106,73448.40249724567,0.44104566712003723,0.5643410852713179,0.49510780147621,0.5040387080094922,291.2,369.15,224.8
soft_rep3,0.1,1e-06,980.2799999999997,133.7087362794304,24482.800832415236,0.4388305079595696,0.6252906976744186,0.5157241700108784,0.5032164281690031,322.65,412.6,193.35
spectrogram8,0.1,1e-06,131072.0,1.0,183.10546875,0.0,0.0,0.0,0.0,0.0,0.0,516.0
iq12,0.1,1e-06,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.1,1e-05,261.9920000000001,500.29008519344086,91605.85056032243,0.43643756418627894,0.5571705426356589,0.48942545517923863,0.5036313574404226,287.5,371.3,228.5
hard_rep3,0.1,1e-05,785.9760000000001,166.76336173114697,30535.28352010748,0.4389833374036944,0.6256782945736433,0.5159616120803877,0.5032220788536294,322.85,412.6,193.15
soft,0.1,1e-05,326.76000000000005,401.12620883829106,73448.40249724567,0.4364986440849294,0.5567829457364342,0.4893123801116503,0.5037025987514017,287.3,370.95,228.7
soft_rep3,0.1,1e-05,980.2799999999997,133.7087362794304,24482.800832415236,0.4389833374036944,0.6256782945736433,0.5159616120803877,0.5032220788536294,322.85,412.6,193.15
spectrogram8,0.1,1e-05,131072.0,1.0,183.10546875,0.0,0.0,0.0,0.0,0.0,0.0,516.0
iq12,0.1,1e-05,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.1,0.0001,261.9920000000001,500.29008519344086,91605.85056032243,0.43478295451377724,0.5601744186046512,0.48953375497759816,0.5031599630382649,289.05,375.75,226.95
hard_rep3,0.1,0.0001,785.9760000000001,166.76336173114697,30535.28352010748,0.438893938099117,0.6256782945736433,0.5158998108713816,0.5032552031492653,322.85,412.75,193.15
soft,0.1,0.0001,326.76000000000005,401.12620883829106,73448.40249724567,0.4342497421480215,0.5545542635658914,0.4870301067576467,0.5034697716098566,286.15,372.8,229.85
soft_rep3,0.1,0.0001,980.2799999999997,133.7087362794304,24482.800832415236,0.438893938099117,0.6256782945736433,0.5158998108713816,0.5032552031492653,322.85,412.75,193.15
spectrogram8,0.1,0.0001,131072.0,1.0,183.10546875,0.0,0.0,0.0,0.0,0.0,0.0,516.0
iq12,0.1,0.0001,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.1,0.001,261.9920000000001,500.29008519344086,91605.85056032243,0.4365124094678368,0.5205426356589148,0.4747842545877087,0.5038000581549088,268.6,346.7,247.4
hard_rep3,0.1,0.001,785.9760000000001,166.76336173114697,30535.28352010748,0.43886861049069276,0.6253875968992247,0.5157834814600377,0.5032197510662457,322.7,412.6,193.3
soft,0.1,0.001,326.76000000000005,401.12620883829106,73448.40249724567,0.43961010238503445,0.4796511627906977,0.4586901317488336,0.503842031413509,247.5,315.55,268.5
soft_rep3,0.1,0.001,980.2799999999997,133.7087362794304,24482.800832415236,0.4389284710113417,0.6253875968992247,0.5158247614913721,0.5032197510662457,322.7,412.5,193.3
spectrogram8,0.1,0.001,131072.0,1.0,183.10546875,0.0,0.0,0.0,0.0,0.0,0.0,516.0
iq12,0.1,0.001,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.2,0.0,261.9920000000001,500.29008519344086,91605.85056032243,0.4359381544426076,0.4994186046511627,0.46543567525229423,0.5030285027656565,257.7,333.5,258.3
hard_rep3,0.2,0.0,785.9760000000001,166.76336173114697,30535.28352010748,0.43903990550632654,0.6203488372093023,0.5141758867696977,0.503133500870792,320.1,409.0,195.9
soft,0.2,0.0,326.76000000000005,401.12620883829106,73448.40249724567,0.4359381544426076,0.4994186046511627,0.46543567525229423,0.5030285027656565,257.7,333.5,258.3
soft_rep3,0.2,0.0,980.2799999999997,133.7087362794304,24482.800832415236,0.43903990550632654,0.6203488372093023,0.5141758867696977,0.503133500870792,320.1,409.0,195.9
spectrogram8,0.2,0.0,131072.0,1.0,183.10546875,0.0,0.0,0.0,0.0,0.0,0.0,516.0
iq12,0.2,0.0,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.2,1e-06,261.9920000000001,500.29008519344086,91605.85056032243,0.43674666905285664,0.4983527131782946,0.4654617215106277,0.5023090243779001,257.15,331.7,258.85
hard_rep3,0.2,1e-06,785.9760000000001,166.76336173114697,30535.28352010748,0.43835304798892033,0.6197674418604652,0.5135063652685874,0.5032911880908961,319.8,409.75,196.2
soft,0.2,1e-06,326.76000000000005,401.12620883829106,73448.40249724567,0.43674666905285664,0.4983527131782946,0.4654617215106277,0.5023090243779001,257.15,331.7,258.85
soft_rep3,0.2,1e-06,980.2799999999997,133.7087362794304,24482.800832415236,0.43835304798892033,0.6197674418604652,0.5135063652685874,0.5032911880908961,319.8,409.75,196.2
spectrogram8,0.2,1e-06,131072.0,1.0,183.10546875,0.0,0.0,0.0,0.0,0.0,0.0,516.0
iq12,0.2,1e-06,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.2,1e-05,261.9920000000001,500.29008519344086,91605.85056032243,0.43894524588309763,0.5011627906976744,0.4678596462166718,0.50367408375529,258.6,330.8,257.4
hard_rep3,0.2,1e-05,785.9760000000001,166.76336173114697,30535.28352010748,0.4384044239096278,0.6203488372093023,0.5137407175850695,0.5032236116533452,320.1,410.05,195.9
soft,0.2,1e-05,326.76000000000005,401.12620883829106,73448.40249724567,0.4387400536740662,0.5005813953488372,0.46748955324424835,0.5037036317997228,258.3,330.7,257.7
soft_rep3,0.2,1e-05,980.2799999999997,133.7087362794304,24482.800832415236,0.4384044239096278,0.6203488372093023,0.5137407175850695,0.5032236116533452,320.1,410.05,195.9
