scheme,packet_loss,ber,trials,mean_bits_per_frame,compression_vs_spectrogram8,compression_vs_iq12,mean_true_occupancy,mean_throughput_score,oracle_gap,mean_regret_occupancy,mean_net_utility,clean_channel_rate,low_interference_rate,oracle_equivalent_rate,exact_oracle_channel_rate,switch_rate
fixed_ch0,0.05,0.0,5,0.0,0.0,0.0,0.020318742841482162,0.9796812653541564,0.016201679408550263,0.016201678663492203,0.9796812653541564,0.6849999999999999,0.968,0.46699999999999997,0.3804,0.0
iq12_gate,0.05,0.0,5,96000000.0,0.0013653333333333334,0.25,0.018726112321019173,0.9812739014625549,0.014609048515558243,0.014609048888087273,0.9779698729515076,0.6924000000000001,0.9743999999999999,0.44299999999999995,0.34259999999999996,0.6608000159263611
iq12_partial,0.05,0.0,5,120000000.0,0.0010922666666666667,0.2,0.005903786048293114,0.9940962076187134,0.001786722126416862,0.0017867220798507334,0.990818190574646,0.9198000000000001,0.9952,0.8962,0.7732,0.6555999875068664
oracle,0.05,0.0,5,0.0,0.0,0.0,0.004117063619196415,0.9958829164505005,0.0,0.0,0.9927069067955017,0.9418,0.9996,1.0,1.0,0.6351999998092651
random,0.05,0.0,5,0.0,0.0,0.0,0.01918581761419773,0.9808141708374023,0.015068753995001316,0.015068753995001316,0.9774481654167175,0.681,0.9728,0.4328,0.3364,0.6732000112533569
semantic_hard,0.05,0.0,5,1050.9919999999997,124.71289513782324,22835.61312338072,0.005849003884941339,0.9941510081291198,0.001731940289027989,0.0017319402657449245,0.9908800005912781,0.9218,0.9948,0.8992000000000001,0.7807999999999999,0.65420001745224
semantic_hard_rep3,0.05,0.0,5,3152.976,41.57096504594108,7611.871041126906,0.0054131756536662575,0.9945868253707886,0.0012961120111867786,0.001296111976262182,0.9913187861442566,0.931,0.9955999999999999,0.9208000000000001,0.7942,0.6536000013351441
semantic_soft,0.05,0.0,5,1313.7599999999998,99.76921659557725,18268.28917155345,0.005807505268603563,0.9941924929618835,0.001690441556274891,0.0016904414398595691,0.9908954977989197,0.9200000000000002,0.9955999999999999,0.8962,0.7777999999999999,0.6593999981880188
semantic_soft_rep3,0.05,0.0,5,3941.2799999999997,33.25640553185907,6089.42972385115,0.005306649580597877,0.9946933388710022,0.001189585926476866,0.0011895858799107373,0.9914013266563415,0.9314,0.9960000000000001,0.921,0.7976000000000001,0.6583999991416931
spectrogram8_gate,0.05,0.0,5,524288.0,0.25,45.7763671875,0.017859937995672225,0.982140052318573,0.013742873445153236,0.01374287363141775,0.9787870645523071,0.7043999999999999,0.9762000000000001,0.44799999999999995,0.347,0.6705999970436096
spectrogram8_partial,0.05,0.0,5,655360.0,0.2,36.62109375,0.005893188063055277,0.9941068172454834,0.0017761244904249906,0.001776124443858862,0.9908267974853515,0.9218,0.9948,0.899,0.7758,0.6559999823570252
spectrogram8_rep3_partial,0.05,0.0,5,1966080.0,0.06666666666666667,12.20703125,0.00542175630107522,0.9945782780647278,0.0013046926818788052,0.0013046927051618695,0.9913032293319702,0.9304,0.9955999999999999,0.9206,0.7934,0.6550000071525574
fixed_ch0,0.05,1e-05,5,0.0,0.0,0.0,0.020569264888763428,0.9794307112693786,0.016591187566518784,0.01659118626266718,0.9794307112693786,0.6780000000000002,0.9693999999999999,0.46179999999999993,0.3742,0.0
iq12_gate,0.05,1e-05,5,96000000.0,0.0013653333333333334,0.25,0.018410828337073325,0.9815891861915589,0.014432749710977077,0.014432749710977077,0.9782601594924927,0.6965999999999999,0.975,0.4422,0.3378,0.6657999992370606
iq12_partial,0.05,1e-05,5,120000000.0,0.0010922666666666667,0.2,0.005878255143761635,0.9941217303276062,0.001900176191702485,0.0019001761684194207,0.9908407211303711,0.9162000000000001,0.9955999999999999,0.8892,0.768,0.6562000036239624
oracle,0.05,1e-05,5,0.0,0.0,0.0,0.003978078765794635,0.9960219025611877,0.0,0.0,0.992811918258667,0.9416,0.9998000000000001,1.0,1.0,0.6420000076293946
random,0.05,1e-05,5,0.0,0.0,0.0,0.019147828221321106,0.9808521866798401,0.015169748291373252,0.015169748850166798,0.9775721669197083,0.6828,0.9747999999999999,0.42779999999999996,0.32700000000000007,0.6560000061988831
semantic_hard,0.05,1e-05,5,1046.4272,125.25854654538662,22935.524880136712,0.005671241413801908,0.9943287372589111,0.0016931622987613082,0.001693162345327437,0.9910337448120117,0.9179999999999999,0.9958,0.898,0.7774,0.6590000033378601
semantic_hard_rep3,0.05,1e-05,5,3139.2816,41.752848848462214,7645.174960045571,0.005277649126946926,0.9947223544120789,0.0012995702913030983,0.0012995702563785017,0.9914173007011413,0.9284000000000001,0.9962,0.917,0.7930000000000001,0.6610000014305115
semantic_soft,0.05,1e-05,5,1303.616,100.54970180323087,18411.20028135331,0.006024033855646848,0.9939759731292724,0.0020459548803046347,0.0020459548803046347,0.9906959176063538,0.9168000000000001,0.9945999999999999,0.8950000000000001,0.7698,0.6560000061988831
semantic_soft_rep3,0.05,1e-05,5,3910.8479999999995,33.51656726774362,6137.066760451103,0.005266971793025732,0.9947330355644226,0.0012888928409665822,0.0012888928409665822,0.9914200186729432,0.929,0.9962,0.9176,0.7852,0.6626000046730042
spectrogram8_gate,0.05,1e-05,5,524288.0,0.25,45.7763671875,0.018817105889320375,0.981182873249054,0.01483902707695961,0.01483902707695961,0.9778858900070191,0.6891999999999999,0.9757999999999999,0.42279999999999995,0.32120000000000004,0.6593999981880188
spectrogram8_partial,0.05,1e-05,5,655360.0,0.2,36.62109375,0.005942519474774599,0.9940574765205383,0.0019644406391307713,0.0019644407322630284,0.9907504677772522,0.9154,0.9955999999999999,0.8908000000000001,0.765,0.6613999962806701
spectrogram8_rep3_partial,0.05,1e-05,5,1966080.0,0.06666666666666667,12.20703125,0.005325872916728258,0.9946741223335266,0.0013477939181029796,0.0013477939413860441,0.9913650989532471,0.9286,0.9960000000000001,0.9174,0.8006,0.6617999911308289
fixed_ch0,0.05,0.0001,5,0.0,0.0,0.0,0.01968397945165634,0.9803160190582275,0.015774903632700444,0.01577490344643593,0.9803160190582275,0.6914,0.9725999999999999,0.4654,0.3694,0.0
iq12_gate,0.05,0.0001,5,96000000.0,0.0013653333333333334,0.25,0.018332307413220405,0.9816677093505859,0.014423231035470963,0.014423231035470963,0.978300678730011,0.6921999999999999,0.9773999999999999,0.4366,0.3356,0.6733999967575073
iq12_partial,0.05,0.0001,5,120000000.0,0.0010922666666666667,0.2,0.006381597276777029,0.9936184167861939,0.00247252166736871,0.002472521481104195,0.9903473734855652,0.905,0.9950000000000001,0.857,0.7299999999999999,0.6542000055313111
oracle,0.05,0.0001,5,0.0,0.0,0.0,0.0039090757258236405,0.9960909366607666,0.0,0.0,0.9928048849105835,0.9436,1.0,1.0,1.0,0.6571999907493591
random,0.05,0.0001,5,0.0,0.0,0.0,0.018143587186932562,0.9818564176559448,0.01423451267182827,0.01423451229929924,0.9784914016723633,0.6956,0.9782,0.43579999999999997,0.3256,0.6729999899864196
semantic_hard,0.05,0.0001,5,1047.176,125.16775874301663,22918.901137026976,0.0055149620398879055,0.9944850683212281,0.0016058864071965217,0.0016058862209320068,0.9911680221557617,0.9219999999999999,0.9962,0.8987999999999999,0.772,0.6633999943733215
semantic_hard_rep3,0.05,0.0001,5,3141.528,41.72258624767222,7639.6337123423245,0.005198711901903153,0.9948012948036193,0.0012896359665319323,0.0012896358384750783,0.991540253162384,0.931,0.9960000000000001,0.9204000000000001,0.7866,0.6522000074386597
semantic_soft,0.05,0.0001,5,1305.28,100.41840697150401,18387.15947964551,0.0056506841443479065,0.9943493008613586,0.0017416084185242653,0.0017416082555428147,0.9910772919654847,0.9204000000000001,0.9955999999999999,0.8944000000000001,0.7634000000000001,0.6544000029563903
semantic_soft_rep3,0.05,0.0001,5,3915.84,33.47280232383467,6129.053159881836,0.005092920549213886,0.9949070811271667,0.0011838448699563742,0.0011838447535410523,0.991645073890686,0.9318000000000002,0.9963999999999998,0.9218,0.7878000000000001,0.6524000048637391
spectrogram8_gate,0.05,0.0001,5,524288.0,0.25,45.7763671875,0.01864696741104126,0.9813530325889588,0.014737892337143422,0.014737892150878906,0.9780410170555115,0.6936000000000001,0.9753999999999999,0.43579999999999997,0.3332,0.6624000072479248
