threshold_sigma,min_cells,enhancement,n_fft,hop_length,n_pred,n_truth,true_positive,false_positive,false_negative,precision,recall,f1,mean_matched_iou,best_iou,raw_iq_32bit_iq_bps,raw_iq_12bit_iq_bps,stft_8bit_bps,semantic_packet_bps,semantic_packet_bits_per_frame,truth_label_counts,matched_truth_label_counts
6.0,8,freq_median,1024,256,128,55,30,98,25,0.234375,0.5454545454545454,0.3278688524590164,0.2041549615208173,0.6256279461624835,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1, 'PSS': 4, 'SSS': 10}"
6.0,16,freq_median,1024,256,128,55,30,98,25,0.234375,0.5454545454545454,0.3278688524590164,0.2041549615208173,0.6256279461624835,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1, 'PSS': 4, 'SSS': 10}"
6.0,32,freq_median,1024,256,107,55,30,77,25,0.2803738317757009,0.5454545454545454,0.3703703703703703,0.2041549615208173,0.6256279461624835,491520000.0,184320000.0,245534850.14614567,61208.42846132593,8769,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1, 'PSS': 4, 'SSS': 10}"
7.0,4,freq_median,1024,256,128,55,30,98,25,0.234375,0.5454545454545454,0.3278688524590164,0.21704423567949885,0.6054305283757645,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1, 'PSS': 4, 'SSS': 10}"
7.0,8,freq_median,1024,256,128,55,30,98,25,0.234375,0.5454545454545454,0.3278688524590164,0.21704423567949885,0.6054305283757645,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1, 'PSS': 4, 'SSS': 10}"
7.0,16,freq_median,1024,256,45,55,30,15,25,0.6666666666666666,0.5454545454545454,0.6,0.21704423567949885,0.6054305283757645,491520000.0,184320000.0,245534850.14614567,26587.171172219234,3809,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1, 'PSS': 4, 'SSS': 10}"
7.0,32,freq_median,1024,256,45,55,30,15,25,0.6666666666666666,0.5454545454545454,0.6,0.21704423567949885,0.6054305283757645,491520000.0,184320000.0,245534850.14614567,26587.171172219234,3809,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1, 'PSS': 4, 'SSS': 10}"
8.0,4,freq_median,1024,256,128,55,31,97,24,0.2421875,0.5636363636363636,0.33879781420765026,0.18977464457259433,0.6094478298253068,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1, 'PSS': 5, 'SSS': 10}"
8.0,8,freq_median,1024,256,80,55,31,49,24,0.3875,0.5636363636363636,0.45925925925925926,0.18977464457259433,0.6094478298253068,491520000.0,184320000.0,245534850.14614567,46131.429319295596,6609,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1, 'PSS': 5, 'SSS': 10}"
8.0,16,freq_median,1024,256,71,55,31,40,24,0.43661971830985913,0.5636363636363636,0.492063492063492,0.18977464457259433,0.6094478298253068,491520000.0,184320000.0,245534850.14614567,41105.76293861881,5889,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1, 'PSS': 5, 'SSS': 10}"
