policy,samples,mean_bits_per_frame,mean_utility,semantic_delivery_score,detail_delivery_score,priority_detail_score,detail_per_mbit,action_summary_only_ratio,action_semantic_only_ratio,action_semantic_plus_roi_ratio,action_lowres_plus_semantic_ratio,action_jpeg_full_ratio,spectrum_scheme,packet_loss,ber,clean_rate
spectrum_rule,79,5269.354430379747,1.0364990346371792,0.5761840873160138,0.0,0.0,0.0,0.0759493670886076,0.9240506329113924,0.0,0.0,0.0,random,0.2,0.0001,0.6967999999999999
dqn,79,5395.494765888485,1.1415557255568127,0.6295824023161873,0.005789000895083541,0.0,1.0729323530592392,0.0,0.9873417721518988,0.012658227848101266,0.0,0.0,random,0.2,0.0001,0.6967999999999999
oracle_policy,79,5296.392405063291,1.1430955998104084,0.6354062038327866,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,random,0.2,0.0001,0.6967999999999999
summary_only,86,177.0,0.2698831968201203,0.14994690934451116,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,semantic_hard_rep3,0.0,0.0001,0.923
semantic_only,86,5135.139534883721,1.781035520142758,0.9898065204927464,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,semantic_hard_rep3,0.0,0.0001,0.923
spectrum_rule,86,44928.65054504678,3.7214267136810975,0.9149866509404577,0.822064173964238,0.9063784482169803,18.29710360741889,0.0,0.09302325581395349,0.08139534883720931,0.8255813953488372,0.0,semantic_hard_rep3,0.0,0.0001,0.923
dqn,86,47583.46727980349,3.8462696993945826,0.9098781263016271,0.9098781263016271,0.9061176854488949,19.121728161407425,0.0,0.0,0.1511627906976744,0.8488372093023255,0.0,semantic_hard_rep3,0.0,0.0001,0.923
oracle_policy,86,47457.43704918334,3.8472784833504665,0.9101146320680301,0.9101146320680301,0.9063784482169803,19.17749226796249,0.0,0.0,0.12790697674418605,0.872093023255814,0.0,semantic_hard_rep3,0.0,0.0001,0.923
summary_only,85,177.0,0.26706741878299434,0.14838258821277456,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,semantic_hard_rep3,0.05,0.0001,0.931
semantic_only,85,4934.7411764705885,1.6851977051809504,0.9365499300678481,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,semantic_hard_rep3,0.05,0.0001,0.931
spectrum_rule,85,43073.34349701548,2.42406045242331,0.6016276404124953,0.5335301029518004,0.559877268529667,12.386549537041821,0.0,0.07058823529411765,0.12941176470588237,0.8,0.0,semantic_hard_rep3,0.05,0.0001,0.931
dqn,85,44024.33514825294,2.4625795183538157,0.5915934531911489,0.5700108353693023,0.559877268529667,12.947630746717195,0.0,0.023529411764705882,0.16470588235294117,0.8117647058823529,0.0,semantic_hard_rep3,0.05,0.0001,0.931
oracle_policy,85,44024.33514825294,2.4625795183538157,0.5915934531911489,0.5700108353693023,0.559877268529667,12.947630746717195,0.0,0.023529411764705882,0.16470588235294117,0.8117647058823529,0.0,semantic_hard_rep3,0.05,0.0001,0.931
summary_only,100,177.0,0.2642470523704424,0.14681571798357912,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,semantic_hard_rep3,0.1,0.0001,0.9308
semantic_only,100,5583.08,1.5743810595240706,0.8750283495133726,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,semantic_hard_rep3,0.1,0.0001,0.9308
spectrum_rule,100,17636.03471861656,1.7112030666265157,0.7015265604552998,0.1814928280670859,0.1871060083165834,10.291022384725885,0.0,0.6,0.07,0.33,0.0,semantic_hard_rep3,0.1,0.0001,0.9308
dqn,100,17584.64168397395,1.7351612085299022,0.700261066262842,0.20042650917567845,0.18320286999258834,11.39781593379525,0.0,0.58,0.1,0.32,0.0,semantic_hard_rep3,0.1,0.0001,0.9308
oracle_policy,100,17978.414483973953,1.7353693598581046,0.6949131933569224,0.2042125533499536,0.1871060083165834,11.35876322864787,0.0,0.57,0.1,0.33,0.0,semantic_hard_rep3,0.1,0.0001,0.9308
summary_only,83,177.0,0.2586109079207648,0.14368452662264697,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,semantic_hard_rep3,0.2,0.0001,0.9308
semantic_only,83,6414.879518072289,1.353997954692337,0.7526487445747255,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,semantic_hard_rep3,0.2,0.0001,0.9308
