scheme,packet_loss,ber,trials,mean_bits_per_frame,compression_vs_spectrogram8,compression_vs_iq12,mean_true_occupancy,mean_throughput_score,oracle_gap,mean_regret_occupancy,mean_net_utility,clean_channel_rate,low_interference_rate,oracle_equivalent_rate,exact_oracle_channel_rate,switch_rate
semantic_soft,0.03,0.0,3,1303.288888888889,100.58588330493109,18417.825312182205,0.005688023132582505,0.9943119684855143,0.0016233960632234812,0.0016233960050158203,0.9910869797070821,0.9188888888888888,0.9955555555555554,0.9138888888888889,0.7888888888888888,0.6450000007947286
semantic_soft_rep3,0.03,0.0,3,3909.8666666666663,33.528627768310365,6139.275104060735,0.005361678389211495,0.9946383039156595,0.0012970514168652396,0.0012970514556703467,0.9913355509440104,0.9283333333333333,0.9955555555555554,0.9294444444444444,0.8011111111111111,0.6605555415153503
spectrogram8_gate,0.03,0.0,3,524288.0,0.25,45.7763671875,0.018248948579033215,0.9817511041959127,0.014184320966402689,0.01418431910375754,0.9784149328867594,0.6805555555555557,0.9811111111111112,0.43555555555555553,0.33944444444444444,0.6672222216924032
spectrogram8_partial,0.03,0.0,3,655360.0,0.20000000000000004,36.62109375,0.005747691262513399,0.9942523241043091,0.001683064231959482,0.001683064134946714,0.9910050829251608,0.9222222222222222,0.995,0.918888888888889,0.7922222222222222,0.6494444410006205
spectrogram8_rep3_partial,0.03,0.0,3,1966080.0,0.06666666666666667,12.20703125,0.005384660481164853,0.9946152965227762,0.0013200334700134893,0.0013200334118058283,0.9913903077443441,0.9272222222222223,0.9955555555555554,0.9266666666666667,0.7994444444444445,0.6450000007947286
fixed_ch0,0.03,1e-05,3,0.0,0.0,0.0,0.02084304392337799,0.9791569312413534,0.017037876571218174,0.017037875950336456,0.9791569312413534,0.6805555555555557,0.9694444444444444,0.47388888888888886,0.3661111111111111,0.0
iq12_gate,0.03,1e-05,3,96000000.0,0.0013653333333333336,0.25,0.018321478739380836,0.9816785057385763,0.01451631107678016,0.01451631107678016,0.978334108988444,0.6933333333333334,0.9772222222222222,0.46388888888888885,0.3572222222222223,0.6688888867696127
iq12_partial,0.03,1e-05,3,120000000.0,0.0010922666666666667,0.20000000000000004,0.005473550719519456,0.9945264657338461,0.0016683834061647456,0.0016683835225800674,0.9912570714950562,0.9294444444444445,0.9955555555555556,0.9016666666666667,0.765,0.6538889010747274
oracle,0.03,1e-05,3,0.0,0.0,0.0,0.0038051671193291745,0.9961948196093241,0.0,0.0,0.992886483669281,0.9461111111111111,1.0,1.0,1.0,0.6616666714350382
random,0.03,1e-05,3,0.0,0.0,0.0,0.018599651753902435,0.9814004302024841,0.014794485953946909,0.014794485333065191,0.9780308802922567,0.7038888888888889,0.9733333333333333,0.4577777777777778,0.33777777777777773,0.6738889018694559
